Category,Indicator,Scraped_At
Sản xuất và Dịch vụ,Q2-2022,2025-12-16T00:08:15.659663
Sản xuất và Dịch vụ,Q1-2022,2025-12-16T00:08:15.659666
Sản xuất và Dịch vụ,GDP THỰC,2025-12-16T00:08:15.659670
Sản xuất và Dịch vụ,"Nông nghiệp, lâm nghiệp và thủy sản",2025-12-16T00:08:15.659701
Sản xuất và Dịch vụ,Nông nghiệp,2025-12-16T00:08:15.659727
Sản xuất và Dịch vụ,Lâm nghiệp,2025-12-16T00:08:15.659753
Sản xuất và Dịch vụ,Thủy sản,2025-12-16T00:08:15.659779
Sản xuất và Dịch vụ,Công nghiệp và xây dựng,2025-12-16T00:08:15.659807
Sản xuất và Dịch vụ,Dịch vụ,2025-12-16T00:08:15.659833
Sản xuất và Dịch vụ,Thuế sản phẩm trừ trợ cấp sản phẩm,2025-12-16T00:08:15.659860
Sản xuất và Dịch vụ,"Thông tin mới nhất
Tin quan trọng",2025-12-16T00:08:15.659888
Sản xuất và Dịch vụ,Thông tin mới nhất,2025-12-16T00:08:15.659893
Sản xuất và Dịch vụ,Tin quan trọng,2025-12-16T00:08:15.659898
Sản xuất và Dịch vụ,"THỊ TRƯỜNG
ĐỊNH GIÁ
DÒNG TIỀN
QUỐC TẾ",2025-12-16T00:08:15.659905
Sản xuất và Dịch vụ,"1Y
2Y
3Y
5Y
10Y
All",2025-12-16T00:08:15.659909
Sản xuất và Dịch vụ,"DIỄN BIẾN THỊ TRƯỜNG
Q4/2024
Q2/2025
Q3/2025
Vốn hoá
LNST
SLCP lưu hành",2025-12-16T00:08:15.659920
Sản xuất và Dịch vụ,"Q4/2024
Q2/2025
Q3/2025",2025-12-16T00:08:15.659924
Sản xuất và Dịch vụ,"Vốn hoá
LNST
SLCP lưu hành",2025-12-16T00:08:15.659929
Sản xuất và Dịch vụ,Vốn hoá,2025-12-16T00:08:15.659933
Sản xuất và Dịch vụ,LNST,2025-12-16T00:08:15.659936
Sản xuất và Dịch vụ,SLCP lưu hành,2025-12-16T00:08:15.659940
Sản xuất và Dịch vụ,"PE THỊ TRƯỜNG
Q4/2024
Q2/2025
Q3/2025
Average: 14.18
P/E thị trường
Max
Min
Trung bình",2025-12-16T00:08:15.659953
Sản xuất và Dịch vụ,"Q4/2024
Q2/2025
Q3/2025
Average: 14.18",2025-12-16T00:08:15.659957
Sản xuất và Dịch vụ,Average: 14.18,2025-12-16T00:08:15.659960
Sản xuất và Dịch vụ,"P/E thị trường
Max
Min
Trung bình",2025-12-16T00:08:15.659967
Sản xuất và Dịch vụ,P/E thị trường,2025-12-16T00:08:15.659972
Sản xuất và Dịch vụ,Trung bình,2025-12-16T00:08:15.659975
Sản xuất và Dịch vụ,"E/P VNINDEX - LÃI SUẤT HUY ĐỘNG 12 THÁNG
Q4/2024
Q2/2025
Q3/2025",2025-12-16T00:08:15.659986
Sản xuất và Dịch vụ,"Ghi chú: gdp-thuc
Cá nhân
Thêm ghi chú bằng cách điền
vào ô bên dưới
Nhập ghi chú",2025-12-16T00:08:15.659998
Sản xuất và Dịch vụ,"Ghi chú: gdp-thuc
Cá nhân",2025-12-16T00:08:15.660004
Sản xuất và Dịch vụ,Ghi chú: gdp-thuc,2025-12-16T00:08:15.660008
Sản xuất và Dịch vụ,gdp-thuc,2025-12-16T00:08:15.660011
Sản xuất và Dịch vụ,Cá nhân,2025-12-16T00:08:15.660015
Sản xuất và Dịch vụ,"Thêm ghi chú bằng cách điền
vào ô bên dưới",2025-12-16T00:08:15.660022
Sản xuất và Dịch vụ,Nhập ghi chú,2025-12-16T00:08:15.660026
Sản xuất và Dịch vụ,"Thị trường
Ngành
Cổ phiếu",2025-12-16T00:08:15.660031
Sản xuất và Dịch vụ,Thị trường,2025-12-16T00:08:15.660035
Sản xuất và Dịch vụ,Ngành,2025-12-16T00:08:15.660039
Sản xuất và Dịch vụ,Cổ phiếu,2025-12-16T00:08:15.660043
Tiêu dùng,"Thư viện
Sửa đồ thị",2025-12-16T00:08:19.761393
Tiêu dùng,FDI dăng ký dự án,2025-12-16T00:08:19.761411
Tiêu dùng,FDI thực hiện,2025-12-16T00:08:19.761419
Tiêu dùng,"Mối quan hệ giữa vàng và lãi suất, bơm tiền",2025-12-16T00:08:19.761429
Tiêu dùng,%HUY ĐỘNG,2025-12-16T00:08:19.761433
Tiêu dùng,VĐT phát triển XH,2025-12-16T00:08:19.761438
Tiêu dùng,BÁN LẺ,2025-12-16T00:08:19.761441
Tiêu dùng,USD.VND 2025,2025-12-16T00:08:19.761445
Tiêu dùng,Bóc tách CPI YOY,2025-12-16T00:08:19.761449
Tiêu dùng,"​
​
Khung thời gian:
Quarterly
Kiểu giá trị:
Value",2025-12-16T00:08:19.761461
Tiêu dùng,"Khung thời gian:
Quarterly",2025-12-16T00:08:19.761467
Tiêu dùng,Khung thời gian:,2025-12-16T00:08:19.761471
Tiêu dùng,Quarterly,2025-12-16T00:08:19.761474
Tiêu dùng,"Kiểu giá trị:
Value",2025-12-16T00:08:19.761479
Tiêu dùng,Kiểu giá trị:,2025-12-16T00:08:19.761484
Tiêu dùng,Value,2025-12-16T00:08:19.761487
Tiêu dùng,Q3-2025,2025-12-16T00:08:19.761491
Tiêu dùng,Q2-2025,2025-12-16T00:08:19.761494
Tiêu dùng,Q1-2025,2025-12-16T00:08:19.761496
Tiêu dùng,Q4-2024,2025-12-16T00:08:19.761499
